,level_0,PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
4933,store,DiscSize,0x0003,2,0x00000000,2020-09-24T10:35:06.225Z,2020-09-24T10:35:06.225Z
4934,qc,DistanceAbs,0x000b,1.07526876032,0x00000000,2020-09-24T10:35:06.267Z,2020-09-24T10:35:06.267Z
4935,qc,DistanceY,0x000b,1.07526876032,0x00000000,2020-09-24T10:35:06.267Z,2020-09-24T10:35:06.267Z
4936,qc,ResultCode,0x0006,0.0,0x00000000,2020-09-24T10:35:06.267Z,2020-09-24T10:35:06.267Z
4937,qc,DistanceX,0x000b,0.0,0x00000000,2020-09-24T10:35:06.267Z,2020-09-24T10:35:06.267Z
4938,rp,527,0x0007,3197503797,0x00000000,2020-09-24T10:35:06.353Z,2020-09-24T10:35:06.353Z
4939,rp,528,0x0007,3187641592,0x00000000,2020-09-24T10:35:06.356Z,2020-09-24T10:35:06.356Z
4940,rp,529,0x0007,1053922151,0x00000000,2020-09-24T10:35:06.358Z,2020-09-24T10:35:06.358Z
4941,gate,Safe,0x0001,false,0x00000000,2020-09-24T10:35:06.507Z,2020-09-24T10:35:06.507Z
4942,gate,Speed,0x000b,-40,0x00000000,2020-09-24T10:35:06.507Z,2020-09-24T10:35:06.507Z
4943,gate,Position,0x000b,137.2,0x00000000,2020-09-24T10:35:06.507Z,2020-09-24T10:35:06.507Z
4944,store,DiscSize,0x0003,0,0x00000000,2020-09-24T10:35:06.525Z,2020-09-24T10:35:06.525Z
4945,qc,DistanceX,0x000b,0.0,0x00000000,2020-09-24T10:35:06.567Z,2020-09-24T10:35:06.567Z
4946,qc,DistanceAbs,0x000b,1.07526876032,0x00000000,2020-09-24T10:35:06.567Z,2020-09-24T10:35:06.567Z
4947,qc,DistanceY,0x000b,1.07526876032,0x00000000,2020-09-24T10:35:06.567Z,2020-09-24T10:35:06.567Z
4948,qc,ResultCode,0x0006,0.0,0x00000000,2020-09-24T10:35:06.567Z,2020-09-24T10:35:06.567Z
4949,rp,527,0x0007,3198151482,0x00000000,2020-09-24T10:35:06.603Z,2020-09-24T10:35:06.603Z
4950,rp,529,0x0007,1053882295,0x00000000,2020-09-24T10:35:06.606Z,2020-09-24T10:35:06.606Z
4951,rp,528,0x0007,3187227120,0x00000000,2020-09-24T10:35:06.606Z,2020-09-24T10:35:06.606Z
4952,gate,Safe,0x0001,false,0x00000000,2020-09-24T10:35:06.807Z,2020-09-24T10:35:06.807Z
4953,gate,Speed,0x000b,-30,0x00000000,2020-09-24T10:35:06.807Z,2020-09-24T10:35:06.807Z
4954,gate,Position,0x000b,126.1,0x00000000,2020-09-24T10:35:06.807Z,2020-09-24T10:35:06.807Z
4955,store,DiscSize,0x0003,1,0x00000000,2020-09-24T10:35:06.825Z,2020-09-24T10:35:06.825Z
4956,rp,527,0x0007,3198141698,0x00000000,2020-09-24T10:35:06.854Z,2020-09-24T10:35:06.854Z
4957,rp,528,0x0007,3187232123,0x00000000,2020-09-24T10:35:06.857Z,2020-09-24T10:35:06.857Z
4958,rp,529,0x0007,1053890293,0x00000000,2020-09-24T10:35:06.859Z,2020-09-24T10:35:06.859Z
4959,qc,DistanceAbs,0x000b,1.07526876032,0x00000000,2020-09-24T10:35:06.867Z,2020-09-24T10:35:06.867Z
4960,qc,DistanceY,0x000b,1.07526876032,0x00000000,2020-09-24T10:35:06.867Z,2020-09-24T10:35:06.867Z
4961,qc,ResultCode,0x0006,0.0,0x00000000,2020-09-24T10:35:06.867Z,2020-09-24T10:35:06.867Z
4962,qc,DistanceX,0x000b,0.0,0x00000000,2020-09-24T10:35:06.867Z,2020-09-24T10:35:06.867Z
4963,rp,527,0x0007,3198142479,0x00000000,2020-09-24T10:35:07.102Z,2020-09-24T10:35:07.102Z
4964,rp,528,0x0007,3187233392,0x00000000,2020-09-24T10:35:07.105Z,2020-09-24T10:35:07.105Z
4965,rp,529,0x0007,1053889014,0x00000000,2020-09-24T10:35:07.105Z,2020-09-24T10:35:07.105Z
4966,gate,Position,0x000b,116.6,0x00000000,2020-09-24T10:35:07.107Z,2020-09-24T10:35:07.107Z
4967,gate,Speed,0x000b,-30,0x00000000,2020-09-24T10:35:07.107Z,2020-09-24T10:35:07.107Z
4968,gate,Safe,0x0001,false,0x00000000,2020-09-24T10:35:07.107Z,2020-09-24T10:35:07.107Z
4969,store,DiscSize,0x0003,0,0x00000000,2020-09-24T10:35:07.125Z,2020-09-24T10:35:07.125Z
4970,qc,DistanceY,0x000b,1.07526876032,0x00000000,2020-09-24T10:35:07.167Z,2020-09-24T10:35:07.167Z
4971,qc,DistanceAbs,0x000b,1.07526876032,0x00000000,2020-09-24T10:35:07.167Z,2020-09-24T10:35:07.167Z
4972,qc,ResultCode,0x0006,0.0,0x00000000,2020-09-24T10:35:07.167Z,2020-09-24T10:35:07.167Z
4973,qc,DistanceX,0x000b,0.0,0x00000000,2020-09-24T10:35:07.167Z,2020-09-24T10:35:07.167Z
4974,rp,527,0x0007,3198142422,0x00000000,2020-09-24T10:35:07.353Z,2020-09-24T10:35:07.353Z
4975,rp,528,0x0007,3187232915,0x00000000,2020-09-24T10:35:07.355Z,2020-09-24T10:35:07.355Z
4976,rp,529,0x0007,1053889311,0x00000000,2020-09-24T10:35:07.358Z,2020-09-24T10:35:07.358Z
4977,gate,Speed,0x000b,-30,0x00000000,2020-09-24T10:35:07.407Z,2020-09-24T10:35:07.407Z
4978,gate,Safe,0x0001,false,0x00000000,2020-09-24T10:35:07.407Z,2020-09-24T10:35:07.407Z
4979,gate,Position,0x000b,106.8,0x00000000,2020-09-24T10:35:07.407Z,2020-09-24T10:35:07.407Z
4980,store,DiscSize,0x0003,0,0x00000000,2020-09-24T10:35:07.425Z,2020-09-24T10:35:07.425Z
