,level_0,PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp,RobPos
56900,store,DiscSize,0x0003,2,0x00000000,2020-09-24T13:10:59.585Z,2020-09-24T13:10:59.585Z,0.0
56901,rp,529,0x0007,1054418394,0x00000000,2020-09-24T13:10:59.603Z,2020-09-24T13:10:59.603Z,0.0
56902,rp,528,0x0007,3190320357,0x00000000,2020-09-24T13:10:59.603Z,2020-09-24T13:10:59.603Z,0.0
56903,rp,527,0x0007,3182363315,0x00000000,2020-09-24T13:10:59.606Z,2020-09-24T13:10:59.606Z,0.0
56904,qc,DistanceX,0x000b,16.0511639118,0x00000000,2020-09-24T13:10:59.765Z,2020-09-24T13:10:59.765Z,0.0
56905,qc,DistanceY,0x000b,1.7204300165200002,0x00000000,2020-09-24T13:10:59.765Z,2020-09-24T13:10:59.765Z,0.0
56906,qc,ResultCode,0x0006,1.0,0x00000000,2020-09-24T13:10:59.765Z,2020-09-24T13:10:59.765Z,0.0
56907,qc,DistanceAbs,0x000b,16.143102005699998,0x00000000,2020-09-24T13:10:59.765Z,2020-09-24T13:10:59.765Z,0.0
56908,gate,Speed,0x000b,0,0x00000000,2020-09-24T13:10:59.814Z,2020-09-24T13:10:59.814Z,0.0
56909,gate,Safe,0x0001,true,0x00000000,2020-09-24T13:10:59.814Z,2020-09-24T13:10:59.814Z,0.0
56910,gate,Position,0x000b,0.3,0x00000000,2020-09-24T13:10:59.814Z,2020-09-24T13:10:59.814Z,0.0
56911,rp,529,0x0007,1054397924,0x00000000,2020-09-24T13:10:59.853Z,2020-09-24T13:10:59.853Z,0.0
56912,rp,528,0x0007,3190119742,0x00000000,2020-09-24T13:10:59.854Z,2020-09-24T13:10:59.854Z,0.0
56913,rp,527,0x0007,3184274126,0x00000000,2020-09-24T13:10:59.856Z,2020-09-24T13:10:59.856Z,0.0
56914,store,DiscSize,0x0003,2,0x00000000,2020-09-24T13:10:59.885Z,2020-09-24T13:10:59.885Z,0.0
56915,qc,DistanceAbs,0x000b,16.143102005699998,0x00000000,2020-09-24T13:11:00.065Z,2020-09-24T13:11:00.065Z,0.0
56916,qc,DistanceX,0x000b,16.0511639118,0x00000000,2020-09-24T13:11:00.065Z,2020-09-24T13:11:00.065Z,0.0
